;Gender;Age;Date_of_birth;Nationality;Municipality;Canton;Salary;Social_matricule;Ethnicity;hair_color;hair_lenght;First_name;Surname
0;M;43;19801104;Luxembourg;Schuttrange;Canton Luxembourg;26044.0;198011040281*;white;gray;medium;Mathias;Smits
1;F;38;19850810;Belgium;Luxembourg;Canton Luxembourg;2960.0;198508105283*;white;black;long;Martine;Heymans
2;M;33;19901221;Luxembourg;Pétange;Canton Esch;6528.0;199012215224*;white;brown;short;Robert;Vercruysse
3;F;27;19960504;France;Ettelbruck;Canton Diekirch;4862.0;199605042593*;white;black;short;Denise;Bonneau
4;F;79;19440822;Luxembourg;Steinsel;Canton Luxembourg;0.0;194408220883*;white;gray;long;Georgette;Étienne
5;M;20;20030126;Italy;Vallée de l'Ernz;Canton Diekirch;9097.0;200301264925*;white;black;short;Augusto;Santi
6;M;64;19590929;Portugal;Kayl;Canton Esch;6116.0;195909299870*;white;gray;long;António;Tavares
7;F;63;19601128;United Kingdom;Mondercange;Canton Esch;11580.0;196011282252*;white;blond;medium;Monica;Jones
8;M;69;19540811;Portugal;Differdange;Canton Esch;0.0;195408112682*;white;gray;medium;Lucas;Esteves
9;M;67;19561023;Portugal;Bertrange;Canton Luxembourg;0.0;195610235867*;white;black;long;Vítor;Tavares
10;M;43;19800102;Luxembourg;Wiltz;Canton Wiltz;1833.0;198001026847*;white;black;long;Gabriel;Jacobs
11;M;35;19880702;Luxembourg;Pétange;Canton Esch;2528.0;198807020244*;black;black;short;Marcel;De Schutter
12;F;26;19970222;France;Dudelange;Canton Esch;4453.0;199702229703*;white;black;medium;Jacqueline;Regnier
13;F;89;19340214;Portugal;Schieren;Canton Diekirch;0.0;193402142238*;white;gray;medium;Eduarda;Garcia
14;F;18;20051115;Luxembourg;Luxembourg;Canton Luxembourg;1460.0;200511159284*;white;red;medium;Veerle;Peeters
15;M;75;19480105;Luxembourg;Pétange;Canton Esch;0.0;194801052382*;white;gray;long;Thibault;Nicolas
16;F;65;19580703;Luxembourg;Mamer;Canton Capellen;0.0;195807037451*;black;black;medium;Océane;Allard
17;M;38;19850812;Portugal;Walferdange;Canton Luxembourg;1145.0;198508126783*;white;black;medium;Lucas;Batista
18;F;28;19950413;Luxembourg;Differdange;Canton Esch;3468.0;199504134002*;white;brown;medium;Carine;Goossens
19;F;42;19810412;Luxembourg;Mondercange;Canton Esch;1080.0;198104122508*;white;brown;short;Claude;Van Hoof
20;M;31;19920905;Luxembourg;Esch-sur-Alzette;Canton Esch;1803.0;199209051525*;black;gray;long;Paul;Hardy
21;F;53;19700111;Luxembourg;Vianden;Canton Vianden;2539.0;197001113871*;white;brown;long;Lina;Marchal
22;M;59;19640120;Luxembourg;Dudelange;Canton Esch;3453.0;196401206601*;white;black;medium;Jeremy;Letellier
23;M;49;19740730;Luxembourg;Rumelange;Canton Esch;1404.0;197407307622*;black;gray;short;Alain;De Boeck
24;F;32;19911128;Belgium;Esch-sur-Alzette;Canton Esch;5803.0;199111285296*;white;brown;medium;Esther;Fierens
25;F;49;19740831;Italy;Käerjeng;Canton Capellen;3641.0;197408311782*;white;red;short;Michela;Bertoli
26;F;48;19750108;Luxembourg;Luxembourg;Canton Luxembourg;2960.0;197501082174*;black;black;short;Rita;Leconte
27;M;65;19580609;Luxembourg;Weiswampach;Canton Clervaux;0.0;195806098468*;white;black;long;Giovanni;Grondin
28;M;24;19990928;Luxembourg;Schifflange;Canton Esch;5042.0;199909288328*;white;blond;short;Christophe;Gomez
29;F;56;19671116;Luxembourg;Bertrange;Canton Luxembourg;2587.0;196711164554*;white;black;short;Lise;Martens
30;F;69;19541201;Portugal;Feulen;Canton Diekirch;0.0;195412016621*;white;blond;short;Carlota;Araújo
31;F;31;19920122;Luxembourg;Niederanven;Canton Luxembourg;6955.0;199201228453*;latino;black;short;Frédérique;Bauwens
32;F;23;20000527;Luxembourg;Waldbillig;Canton Echternach;2050.0;200005276425*;black;black;medium;Susanne;Van den Eynde
33;F;34;19890320;Portugal;Luxembourg;Canton Luxembourg;7960.0;198903200379*;white;black;short;Amélia;Carneiro
34;M;57;19660905;Portugal;Remich;Canton Remich;16288.0;196609052689*;white;black;long;Rúben;Batista
35;F;48;19750402;Portugal;Luxembourg;Canton Luxembourg;4460.0;197504026926*;white;black;medium;Mafalda;Vaz
